Date (YYYY-MM-DD)	Day of the Week	Time of Day	Location	Location Rank	Incident Nature	Incident Rank
2024-04-04	5	18	2701 CORPORATE CENTRE DR	140	Alarm	6
2024-04-04	5	18	1111 OAK TREE AVE	140	Runaway or Lost Child	32
2024-04-04	5	18	313 LAMP POST RD	54	Welfare Check	4
2024-04-04	5	18	6710 E STATE HWY 9 HWY	140	Alarm	6
2024-04-04	5	18	1638 CARA JO DR	140	Larceny	10
2024-04-04	5	18	601 12TH AVE NE	33	Larceny	10
2024-04-04	5	18	3123 HARWICH CT	140	Parking Problem	25
2024-04-04	5	19	918 W ROBINSON ST	54	Falls	10
2024-04-04	5	19	918 W ROBINSON ST	54	Falls	10
2024-04-04	5	19	2013 W LINDSEY ST	140	Disturbance/Domestic	4
2024-04-04	5	19	573 24TH AVE NE	140	Traffic Stop	1
2024-04-04	5	19	3123 HARWICK CT	140	Parking Problem	25
2024-04-04	5	19	307 E HUGHBERT ST	140	Suspicious	13
2024-04-04	5	19	36TH AVE NE / E ROCK CREEK RD	140	Check Area	15
2024-04-04	5	19	18501 E FRANKLIN RD	54	Diabetic Problems	48
2024-04-04	5	19	18501 E FRANKLIN RD	54	Sick Person	7
2024-04-04	5	19	3301 W MAIN ST	21	Fire Odor Investigation	72
2024-04-04	5	19	3301 W MAIN ST	21	Welfare Check	4
2024-04-04	5	19	700 S TELEPHONE RD	4	Transfer/Interfacility	2
2024-04-04	5	19	3100 ROCK CREEK TRL	140	Runaway or Lost Child	32
2024-04-04	5	20	3703 CEDAR RIDGE DR	54	Falls	10
2024-04-04	5	20	3703 CEDAR RIDGE DR	54	Falls	10
2024-04-04	5	20	926 N FLOOD AVE	140	Alarm	6
2024-04-04	5	20	2203 W MAIN ST	140	Indecent Exposure	72
2024-04-04	5	20	2700 W LINDSEY ST	140	Suspicious	13
2024-04-04	5	20	1332 KANSAS ST	140	Noise Complaint	27
2024-04-04	5	20	509 CLAREMONT DR	140	Suspicious	13
2024-04-04	5	20	2200 W MAIN ST	54	Traffic Stop	1
2024-04-04	5	20	CENTRAL PKWY / 12TH AVE NE	140	MVA Non Injury	8
2024-04-04	5	20	2420 SPRINGER DR	140	Larceny	10
2024-04-04	5	20	3510 BERGEN PEAK DR	140	Supplement Report	42
2024-04-04	5	20	125 VICKSBURG AVE	54	COP Relationships	17
2024-04-04	5	20	901 N PORTER AVE	1	Transfer/Interfacility	2
2024-04-04	5	20	901 N PORTER AVE	1	Transfer/Interfacility	2
2024-04-04	5	20	192ND AVE SE / E LINDSEY ST	33	Fire Mutual Aid	72
2024-04-04	5	20	192ND AVE SE / E LINDSEY ST	33	EMS Mutual Aid	48
2024-04-04	5	20	192ND AVE SE / E LINDSEY ST	33	EMS Mutual Aid	48
2024-04-04	5	20	931 BILOXI DR	140	Welfare Check	4
2024-04-04	5	20	E STATE HWY 9 HWY / 12TH AVE SE	33	Motorist Assist	19
2024-04-04	5	20	3550 W ROBINSON ST	33	Traffic Stop	1
2024-04-04	5	20	700 S TELEPHONE RD	4	Transfer/Interfacility	2
2024-04-04	5	20	2960 CLASSEN BLVD	12	Overdose/Poisoning	22
2024-04-04	5	20	2960 CLASSEN BLVD	12	Overdose/Poisoning	22
2024-04-04	5	20	2960 CLASSEN BLVD	12	Assist Police	72
2024-04-04	5	21	201 REED AVE	6	Headache	60
2024-04-04	5	21	201 REED AVE	6	Headache	60
2024-04-04	5	21	401 12TH AVE SE	21	Public Assist	19
2024-04-04	5	21	1213 CROWN POINT AVE	54	Disturbance/Domestic	4
2024-04-04	5	21	4250 36TH AVE NE	140	Contact a Subject	3
2024-04-04	5	21	401 W MAIN ST	140	Check Area	15
2024-04-04	5	21	251 12TH AVE SE	54	Disturbance/Domestic	4
2024-04-04	5	21	2000 ANN BRANDEN BLVD	7	Transfer/Interfacility	2
2024-04-04	5	21	2751 24TH AVE NW	54	Falls	10
2024-04-04	5	21	2751 24TH AVE NW	54	Falls	10
2024-04-04	5	21	N SANTA FE AVE / W MAIN ST	140	Traffic Stop	1
2024-04-04	5	21	800 LEXINGTON ST	9	Runaway or Lost Child	32
2024-04-04	5	21	901 N PORTER AVE	1	Transfer/Interfacility	2
2024-04-04	5	21	1550 W MAIN ST	140	Traffic Stop	1
2024-04-04	5	21	3550 W ROBINSON ST	33	Alarm	6
2024-04-04	5	21	12TH AVE SE / E STATE HWY 9 HWY	140	Motorist Assist	19
2024-04-04	5	21	2319 W LINDSEY ST	140	Drunk Driver	60
2024-04-04	5	21	700 S TELEPHONE RD	4	Transfer/Interfacility	2
2024-04-04	5	21	2438 BUTLER DR	140	Traffic Stop	1
2024-04-04	5	21	2500 ALAMEDA ST	140	Traffic Stop	1
2024-04-04	5	22	3010 CLASSEN BLVD	54	Public Intoxication	48
2024-04-04	5	22	E ROBINSON ST / 12TH AVE NE	9	Traffic Stop	1
2024-04-04	5	22	1765 ALAMEDA ST	140	Traffic Stop	1
2024-04-04	5	22	E LINDSEY ST / 12TH AVE SE	140	Traffic Stop	1
2024-04-04	5	22	901 N PORTER AVE	1	Transfer/Interfacility	2
2024-04-04	5	22	800 LEXINGTON ST	9	Sick Person	7
2024-04-04	5	22	800 LEXINGTON ST	9	Sick Person	7
2024-04-04	5	22	84TH AVE SE / E CEDAR LANE RD	140	Motorist Assist	19
2024-04-04	5	22	E CONSTITUTION ST / BNSF RR	140	Traffic Stop	1
2024-04-04	5	22	E LINDSEY ST / CLASSEN BLVD	140	Traffic Stop	1
2024-04-04	5	22	4201 24TH AVE NW	140	Assault	60
2024-04-04	5	22	209 W HIMES ST	140	Disturbance/Domestic	4
2024-04-04	5	23	300 W ROCK CREEK RD	140	Traffic Stop	1
2024-04-04	5	23	DEANS ROW AVE / W DUFFY ST	140	Traffic Stop	1
2024-04-04	5	23	OAKHURST AVE / E LINDSEY ST	140	Traffic Stop	1
2024-04-04	5	23	CLASSEN BLVD / E CEDAR LANE RD	140	Traffic Stop	1
2024-04-04	5	23	2113 W LINDSEY ST	140	Traffic Stop	1
2024-04-04	5	23	318 E HAYES ST	21	Trespassing	10
2024-04-04	5	23	3251 CLASSEN BLVD	54	Disturbance/Domestic	4
2024-04-04	5	23	1303 W TECUMSEH RD	140	Alarm	6
2024-04-04	5	23	316 CINDY AVE	140	Disturbance/Domestic	4
